"chamber","root_mass","CO2_treatment","Water_treatment","treatment"
"ch01",8622.399,"ambient","wet","ambient-wet"
"ch02",6373.402,"elevated","dry","elevated-dry"
"ch03",6396.877,"ambient","wet","ambient-wet"
"ch04",4004.5851,"elevated","wet","elevated-wet"
"ch05",5439.9066,"ambient","dry","ambient-dry"
"ch06",2424.256,"elevated","wet","elevated-wet"
"ch07",5200.905,"ambient","dry","ambient-dry"
"ch08",7407.9449,"elevated","wet","elevated-wet"
"ch09",8439.7357,"ambient","dry","ambient-dry"
"ch10",6122.4004,"elevated","dry","elevated-dry"
"ch11",7964.486,"ambient","wet","ambient-wet"
"ch12",3245.783,"elevated","dry","elevated-dry"
