"","chamber","Date","bole_mass"
"1","ch01",2008-01-16,230.661496407171
"2","ch02",2008-01-16,148.81408336565
"3","ch03",2008-01-16,204.721143416398
"4","ch04",2008-01-16,162.240737049705
"5","ch05",2008-01-16,213.971813317323
"6","ch06",2008-01-16,142.554712397377
"7","ch07",2008-01-16,234.58764726011
"8","ch08",2008-01-16,266.734739881047
"9","ch09",2008-01-16,284.446268411286
"10","ch10",2008-01-16,139.436339491631
"11","ch11",2008-01-16,107.04970056763
"12","ch12",2008-01-16,77.3979701728456
"13","ch01",2008-02-21,563.817578874587
"14","ch02",2008-02-21,391.852927961171
"15","ch03",2008-02-21,386.364857273572
"16","ch04",2008-02-21,4.81764401759497e-06
"17","ch05",2008-02-21,422.65183616723
"18","ch06",2008-02-21,348.217491449695
"19","ch07",2008-02-21,443.093999528092
"20","ch08",2008-02-21,493.967144054108
"21","ch09",2008-02-21,546.667114595375
"22","ch10",2008-02-21,255.761160715424
"23","ch11",2008-02-21,252.644661276637
"24","ch12",2008-02-21,213.319926705284
"25","ch01",2008-03-04,1596.29101170272
"26","ch02",2008-03-04,865.340515372306
"27","ch03",2008-03-04,1107.36582983398
"28","ch04",2008-03-04,812.162425324667
"29","ch05",2008-03-04,1170.68153693783
"30","ch06",2008-03-04,619.30176178084
"31","ch07",2008-03-04,1068.75642234151
"32","ch08",2008-03-04,1174.19352030542
"33","ch09",2008-03-04,1344.04509734069
"34","ch10",2008-03-04,504.21630495147
"35","ch11",2008-03-04,643.555534925923
"36","ch12",2008-03-04,385.09567292951
"37","ch01",2008-03-11,1774.71245524042
"38","ch02",2008-03-11,1003.72628556873
"39","ch03",2008-03-11,1276.25182343185
"40","ch04",2008-03-11,915.045503505657
"41","ch05",2008-03-11,1374.43475882949
"42","ch06",2008-03-11,718.083734188462
"43","ch07",2008-03-11,1208.99083953402
"44","ch08",2008-03-11,1335.40707568181
"45","ch09",2008-03-11,1558.19127226379
"46","ch10",2008-03-11,576.681507169183
"47","ch11",2008-03-11,768.426804587565
"48","ch12",2008-03-11,440.616119001129
"49","ch01",2008-03-14,841.690340937737
"50","ch02",2008-03-14,479.114897740809
"51","ch03",2008-03-14,567.745751180541
"52","ch04",2008-03-14,673.361296625543
"53","ch05",2008-03-14,707.998725401213
"54","ch06",2008-03-14,488.170267915922
"55","ch07",2008-03-14,584.945926771701
"56","ch08",2008-03-14,775.063087474665
"57","ch09",2008-03-14,718.791548832149
"58","ch10",2008-03-14,347.570593467059
"59","ch11",2008-03-14,406.20199915757
"60","ch12",2008-03-14,296.579900835963
"61","ch01",2008-03-18,1951.21570209903
"62","ch02",2008-03-18,1163.17189101265
"63","ch03",2008-03-18,1488.91902505746
"64","ch04",2008-03-18,1043.57292598964
"65","ch05",2008-03-18,1592.53089970869
"66","ch06",2008-03-18,849.833267967328
"67","ch07",2008-03-18,1357.46859394734
"68","ch08",2008-03-18,1614.00076628993
"69","ch09",2008-03-18,1770.13034311037
"70","ch10",2008-03-18,683.741705794295
"71","ch11",2008-03-18,919.267896621084
"72","ch12",2008-03-18,523.005557274602
"73","ch01",2008-03-25,2182.96085737095
"74","ch02",2008-03-25,1324.96909087523
"75","ch03",2008-03-25,1646.017904509
"76","ch04",2008-03-25,1120.53440412697
"77","ch05",2008-03-25,1823.27605357206
"78","ch06",2008-03-25,971.720567088738
"79","ch07",2008-03-25,1528.24284418659
"80","ch08",2008-03-25,1734.31330958843
"81","ch09",2008-03-25,1983.77511717533
"82","ch10",2008-03-25,756.490208552008
"83","ch11",2008-03-25,1049.10543844688
"84","ch12",2008-03-25,597.167523221285
"85","ch01",2008-03-31,2058.06649474999
"86","ch02",2008-03-31,1358.64459586749
"87","ch03",2008-03-31,1612.95163204093
"88","ch04",2008-03-31,1168.88417655492
"89","ch05",2008-03-31,1894.19396069319
"90","ch06",2008-03-31,986.230886273451
"91","ch07",2008-03-31,1541.80265621125
"92","ch08",2008-03-31,1827.45378070862
"93","ch09",2008-03-31,2008.70160530193
"94","ch10",2008-03-31,827.914231180088
"95","ch11",2008-03-31,1119.92143708361
"96","ch12",2008-03-31,658.7122115894
"97","ch01",2008-04-08,2171.47665717007
"98","ch02",2008-04-08,1481.10423447022
"99","ch03",2008-04-08,1740.65774401161
"100","ch04",2008-04-08,1263.98444749108
"101","ch05",2008-04-08,1968.50047470719
"102","ch06",2008-04-08,1100.71838235362
"103","ch07",2008-04-08,1705.17917017881
"104","ch08",2008-04-08,2011.06857459899
"105","ch09",2008-04-08,2165.94231951682
"106","ch10",2008-04-08,930.23151677187
"107","ch11",2008-04-08,1249.78824196716
"108","ch12",2008-04-08,719.712847643013
"109","ch01",2008-04-15,2286.60982713987
"110","ch02",2008-04-15,1617.71804634042
"111","ch03",2008-04-15,1854.44903219813
"112","ch04",2008-04-15,1373.08473743043
"113","ch05",2008-04-15,2225.73949704691
"114","ch06",2008-04-15,1193.56730747388
"115","ch07",2008-04-15,1856.75293217133
"116","ch08",2008-04-15,2171.3185887391
"117","ch09",2008-04-15,2372.15692228435
"118","ch10",2008-04-15,1043.98715085736
"119","ch11",2008-04-15,1385.11587673565
"120","ch12",2008-04-15,801.256421502577
"121","ch01",2008-04-22,2423.70793192277
"122","ch02",2008-04-22,1735.69417101998
"123","ch03",2008-04-22,1964.37407633137
"124","ch04",2008-04-22,1455.78564714119
"125","ch05",2008-04-22,2261.9526214368
"126","ch06",2008-04-22,1170.47974024296
"127","ch07",2008-04-22,2025.42965810435
"128","ch08",2008-04-22,2321.06733615179
"129","ch09",2008-04-22,2573.66325477708
"130","ch10",2008-04-22,1109.64392115701
"131","ch11",2008-04-22,1490.59225760853
"132","ch12",2008-04-22,852.524209226698
"133","ch01",2008-04-29,2568.24688947912
"134","ch02",2008-04-29,1838.247391327
"135","ch03",2008-04-29,2080.77084699787
"136","ch04",2008-04-29,1517.29928595678
"137","ch05",2008-04-29,2423.88997324058
"138","ch06",2008-04-29,1286.4198845899
"139","ch07",2008-04-29,2113.0990874575
"140","ch08",2008-04-29,2505.15718250255
"141","ch09",2008-04-29,2799.13497324112
"142","ch10",2008-04-29,1229.81212878842
"143","ch11",2008-04-29,1613.24208638683
"144","ch12",2008-04-29,936.289472929529
"145","ch01",2008-05-06,2559.13568450426
"146","ch02",2008-05-06,1839.6515898762
"147","ch03",2008-05-06,2056.30318257078
"148","ch04",2008-05-06,1531.78575352971
"149","ch05",2008-05-06,2379.56918361658
"150","ch06",2008-05-06,1248.92732222662
"151","ch07",2008-05-06,2137.31666758851
"152","ch08",2008-05-06,2489.00795889628
"153","ch09",2008-05-06,2768.22307813172
"154","ch10",2008-05-06,1271.22569320651
"155","ch11",2008-05-06,1592.33628362394
"156","ch12",2008-05-06,937.39622898667
"157","ch01",2008-05-20,2716.23195904264
"158","ch02",2008-05-20,2026.42712164347
"159","ch03",2008-05-20,2233.97478356202
"160","ch04",2008-05-20,1701.79995325639
"161","ch05",2008-05-20,2595.36436449284
"162","ch06",2008-05-20,1484.29379880851
"163","ch07",2008-05-20,2402.68154047163
"164","ch08",2008-05-20,2726.93964396219
"165","ch09",2008-05-20,2993.97449735121
"166","ch10",2008-05-20,1448.80250230779
"167","ch11",2008-05-20,1865.65408548094
"168","ch12",2008-05-20,1069.40893863384
"169","ch01",2008-06-02,2913.40465212206
"170","ch02",2008-06-02,2192.87712526376
"171","ch03",2008-06-02,2468.3588274964
"172","ch04",2008-06-02,1872.69937826305
"173","ch05",2008-06-02,2830.42146245146
"174","ch06",2008-06-02,1609.97428204339
"175","ch07",2008-06-02,2611.33749491507
"176","ch08",2008-06-02,2918.29541406428
"177","ch09",2008-06-02,3256.06159117108
"178","ch10",2008-06-02,1603.4556815683
"179","ch11",2008-06-02,2068.75398271436
"180","ch12",2008-06-02,1182.75804010764
"181","ch01",2008-06-16,3048.68307249628
"182","ch02",2008-06-16,2300.3183001562
"183","ch03",2008-06-16,2583.68430993294
"184","ch04",2008-06-16,1954.76963885567
"185","ch05",2008-06-16,2948.41532664246
"186","ch06",2008-06-16,1643.30316248761
"187","ch07",2008-06-16,2864.06146865584
"188","ch08",2008-06-16,3100.31784652624
"189","ch09",2008-06-16,3519.29186596424
"190","ch10",2008-06-16,1718.63333075806
"191","ch11",2008-06-16,2268.57095937825
"192","ch12",2008-06-16,1293.7293916386
"193","ch01",2008-07-01,3236.58130892999
"194","ch02",2008-07-01,2429.74298836429
"195","ch03",2008-07-01,2691.26432565904
"196","ch04",2008-07-01,2018.08478460235
"197","ch05",2008-07-01,3142.25455756954
"198","ch06",2008-07-01,1682.32516040043
"199","ch07",2008-07-01,3059.82373678658
"200","ch08",2008-07-01,3279.54069051787
"201","ch09",2008-07-01,3696.30955257094
"202","ch10",2008-07-01,1825.5333361208
"203","ch11",2008-07-01,2446.68182457431
"204","ch12",2008-07-01,1345.14880670663
"205","ch01",2008-07-16,3418.88916340491
"206","ch02",2008-07-16,2534.7846989454
"207","ch03",2008-07-16,2889.47860383044
"208","ch04",2008-07-16,2146.70015673339
"209","ch05",2008-07-16,3354.18817227745
"210","ch06",2008-07-16,1824.18674130422
"211","ch07",2008-07-16,3275.72945479224
"212","ch08",2008-07-16,3485.68396162178
"213","ch09",2008-07-16,3932.6475030269
"214","ch10",2008-07-16,1979.07587402993
"215","ch11",2008-07-16,2642.73064425513
"216","ch12",2008-07-16,1459.67266534339
"217","ch01",2008-07-29,3394.09396746664
"218","ch02",2008-07-29,2528.71000172834
"219","ch03",2008-07-29,2921.63503602834
"220","ch04",2008-07-29,2230.70420418001
"221","ch05",2008-07-29,3461.05878618827
"222","ch06",2008-07-29,1827.25883070742
"223","ch07",2008-07-29,3359.73043791814
"224","ch08",2008-07-29,3442.07469550437
"225","ch09",2008-07-29,4013.96515126965
"226","ch10",2008-07-29,2033.9382535835
"227","ch11",2008-07-29,2703.5607757408
"228","ch12",2008-07-29,1508.92126123991
"229","ch01",2008-08-20,3131.78883345175
"230","ch02",2008-08-20,2559.48010870398
"231","ch03",2008-08-20,3099.99971336609
"232","ch04",2008-08-20,2467.96371771942
"233","ch05",2008-08-20,3330.45194873173
"234","ch06",2008-08-20,1910.82252584186
"235","ch07",2008-08-20,3393.49042201468
"236","ch08",2008-08-20,3716.43395340819
"237","ch09",2008-08-20,4079.60626778931
"238","ch10",2008-08-20,1995.12871393326
"239","ch11",2008-08-20,2635.51988983968
"240","ch12",2008-08-20,1674.32189069061
"241","ch01",2008-09-17,4916.78928716787
"242","ch02",2008-09-17,3519.22938926998
"243","ch03",2008-09-17,4327.76981026068
"244","ch04",2008-09-17,3044.69289351987
"245","ch05",2008-09-17,4981.84660962787
"246","ch06",2008-09-17,2256.43778759224
"247","ch07",2008-09-17,5055.91516229568
"248","ch08",2008-09-17,4502.45561478073
"249","ch09",2008-09-17,5619.02544581085
"250","ch10",2008-09-17,2868.35536440257
"251","ch11",2008-09-17,4487.55930546281
"252","ch12",2008-09-17,2100.61646586466
"253","ch01",2008-10-01,5011.74150779738
"254","ch02",2008-10-01,3543.17867645971
"255","ch03",2008-10-01,4421.1938713167
"256","ch04",2008-10-01,3539.72186045646
"257","ch05",2008-10-01,4870.14968187513
"258","ch06",2008-10-01,2540.15107348837
"259","ch07",2008-10-01,4971.0886916014
"260","ch08",2008-10-01,4883.8244139362
"261","ch09",2008-10-01,5696.43281785127
"262","ch10",2008-10-01,3258.0133559981
"263","ch11",2008-10-01,4301.78895248398
"264","ch12",2008-10-01,2340.9285120812
"265","ch01",2008-10-14,5607.43017361416
"266","ch02",2008-10-14,3900.52410198237
"267","ch03",2008-10-14,4864.35757975652
"268","ch04",2008-10-14,3883.77354410993
"269","ch05",2008-10-14,5310.64024485788
"270","ch06",2008-10-14,2830.00823518738
"271","ch07",2008-10-14,5456.32170113453
"272","ch08",2008-10-14,5473.33306174846
"273","ch09",2008-10-14,6308.62677863214
"274","ch10",2008-10-14,3736.14264331037
"275","ch11",2008-10-14,4849.30783777446
"276","ch12",2008-10-14,2656.41664900035
"277","ch01",2008-10-28,6023.4725063491
"278","ch02",2008-10-28,4257.08722794862
"279","ch03",2008-10-28,5137.316978881
"280","ch04",2008-10-28,4142.00943367147
"281","ch05",2008-10-28,5581.77443021072
"282","ch06",2008-10-28,3056.19409233374
"283","ch07",2008-10-28,5837.32875263135
"284","ch08",2008-10-28,5954.32339223511
"285","ch09",2008-10-28,6886.33701920471
"286","ch10",2008-10-28,4165.79703342934
"287","ch11",2008-10-28,5242.79680355894
"288","ch12",2008-10-28,2909.84681895691
"289","ch01",2008-11-11,6400.56491546171
"290","ch02",2008-11-11,4654.34596706698
"291","ch03",2008-11-11,5507.18171757174
"292","ch04",2008-11-11,4439.23790283119
"293","ch05",2008-11-11,5837.44766762694
"294","ch06",2008-11-11,3353.18140950317
"295","ch07",2008-11-11,6165.70312183377
"296","ch08",2008-11-11,6237.20756939029
"297","ch09",2008-11-11,7357.83397165705
"298","ch10",2008-11-11,4531.44610941918
"299","ch11",2008-11-11,5569.88273268665
"300","ch12",2008-11-11,3160.81602304538
"301","ch01",2008-12-09,10105.0722317504
"302","ch02",2008-12-09,7211.25082907719
"303","ch03",2008-12-09,7763.27478383971
"304","ch04",2008-12-09,5744.2759812787
"305","ch05",2008-12-09,7724.58385060665
"306","ch06",2008-12-09,4635.04213437625
"307","ch07",2008-12-09,8178.17249589946
"308","ch08",2008-12-09,7975.9010002543
"309","ch09",2008-12-09,9969.3986231205
"310","ch10",2008-12-09,5800.62154496871
"311","ch11",2008-12-09,9084.99783914458
"312","ch12",2008-12-09,4151.62824496245
"313","ch01",2008-12-23,7465.52565828426
"314","ch02",2008-12-23,5957.77909603598
"315","ch03",2008-12-23,6682.16507894129
"316","ch04",2008-12-23,5542.37198806087
"317","ch05",2008-12-23,6425.06457301275
"318","ch06",2008-12-23,4268.18919089407
"319","ch07",2008-12-23,7002.15004677161
"320","ch08",2008-12-23,7434.7005714941
"321","ch09",2008-12-23,8834.57497550038
"322","ch10",2008-12-23,5300.26154864667
"323","ch11",2008-12-23,6805.82785752619
"324","ch12",2008-12-23,4039.65844104001
"325","ch01",2009-01-05,7810.5387895712
"326","ch02",2009-01-05,6360.52122249044
"327","ch03",2009-01-05,7196.85272831214
"328","ch04",2009-01-05,5977.63059591342
"329","ch05",2009-01-05,6579.44203496442
"330","ch06",2009-01-05,4613.73840822792
"331","ch07",2009-01-05,7231.90242034885
"332","ch08",2009-01-05,7900.64370774511
"333","ch09",2009-01-05,9264.21175554142
"334","ch10",2009-01-05,5397.65208562531
"335","ch11",2009-01-05,7213.09705493029
"336","ch12",2009-01-05,4.91568951544985e-06
"337","ch01",2009-01-20,12413.6374631494
"338","ch02",2009-01-20,8977.30766874277
"339","ch03",2009-01-20,9799.2060953043
"340","ch04",2009-01-20,7566.08967413956
"341","ch05",2009-01-20,8455.02748873909
"342","ch06",2009-01-20,6629.09772130891
"343","ch07",2009-01-20,9118.88392314077
"344","ch08",2009-01-20,10025.711859957
"345","ch09",2009-01-20,11768.827569302
"346","ch10",2009-01-20,6641.2575212296
"347","ch11",2009-01-20,11559.0977214526
"348","ch12",2009-01-20,5032.73746517277
"349","ch01",2009-02-03,8140.11200714632
"350","ch02",2009-02-03,6763.60811793938
"351","ch03",2009-02-03,8131.07462897599
"352","ch04",2009-02-03,6620.9536291971
"353","ch05",2009-02-03,6700.64898211537
"354","ch06",2009-02-03,5314.76665939987
"355","ch07",2009-02-03,7434.06765473306
"356","ch08",2009-02-03,8668.05408998886
"357","ch09",2009-02-03,9785.92711789452
"358","ch10",2009-02-03,5530.27777650496
"359","ch11",2009-02-03,7812.55766158255
"360","ch12",2009-02-03,4490.24236801997
"361","ch01",2009-02-17,8372.93976350262
"362","ch02",2009-02-17,7017.18461156855
"363","ch03",2009-02-17,8514.95202368451
"364","ch04",2009-02-17,6866.65931935092
"365","ch05",2009-02-17,6830.84339013766
"366","ch06",2009-02-17,5441.36747778924
"367","ch07",2009-02-17,7575.77356641888
"368","ch08",2009-02-17,8904.16272663936
"369","ch09",2009-02-17,10038.8991195517
"370","ch10",2009-02-17,5586.96406110296
"371","ch11",2009-02-17,7045.35360868265
"372","ch12",2009-02-17,4571.06296309574
"373","ch01",2009-03-16,16073.6377107955
"374","ch02",2009-03-16,11680.1117625336
"375","ch03",2009-03-16,13819.8793453806
"376","ch04",2009-03-16,10462.4588675386
"377","ch05",2009-03-16,9909.8264940685
"378","ch06",2009-03-16,9527.70370668233
"379","ch07",2009-03-16,12053.3321916547
"380","ch08",2009-03-16,13506.1810062858
"381","ch09",2009-03-16,15473.2396161522
"382","ch10",2009-03-16,8626.15961270479
"383","ch11",2009-03-16,15436.4886466034
"384","ch12",2009-03-16,7004.20441361819
