"","chamber","layerno","layerheight_mean","mass_cookie_cm","density_cookie_cm"
"1","ch01",0,95,183.599817677,0.460421731349473
"2","ch01",1,230,130.687781379296,0.526172173890512
"3","ch01",2,370,70.2925560306802,0.38771435984742
"4","ch01",3,506,65.8984344927781,0.471378675257378
"5","ch01",4,642.666666666667,32.4248953116252,0.450409253715691
"6","ch01",5,902.666666666667,22.9723101114924,0.496288028916373
"7","ch02",0,95,196.850432249506,0.584638099272869
"8","ch02",1,233,104.358934209688,0.464018801304173
"9","ch02",2,371,95.8220616531034,0.424160447321718
"10","ch02",3,509.5,57.6997182009152,0.450462128450257
"11","ch02",4,647.5,36.7373747934432,0.526617211618711
"12","ch02",5,918,18.0379179607074,0.457216850973563
"13","ch03",0,95,226.188459756762,0.521945873402692
"14","ch03",1,248.5,198.268291592417,0.517249731574094
"15","ch03",2,370,133.037856018014,0.42417798605171
"16","ch03",3,508.5,85.7073950890319,0.361949717530825
"17","ch03",4,646,50.2610152369196,0.415951243883344
"18","ch03",5,951,25.7120914205538,0.388207693046933
"19","ch04",0,95,149.087954195138,0.4846407243373
"20","ch04",1,200.25,69.9536490804004,0.540994651387866
"21","ch04",2,311,30.8158720387585,0.599441959833312
"22","ch04",3,422.75,20.0054106906475,0.472064705002918
"23","ch04",4,535.5,14.5267244301992,0.365349242851362
"24","ch04",5,686.25,13.9444398127677,0.388127862727051
"25","ch05",0,95,208.70286595148,0.595808608878419
"26","ch05",1,223,109.923129481055,0.472647241781205
"27","ch05",2,352.833333333333,61.2650811251902,0.465900408412864
"28","ch05",3,484.833333333333,38.0630768456276,0.444596529562936
"29","ch05",4,666.5,11.4563796393587,0.511954044346848
"30","ch05",5,812,6.9301247335943,0.403137937944259
"31","ch06",0,95,100.813522848228,1.22906877954596
"32","ch06",1,213,50.7446616445996,0.693042630640824
"33","ch06",2,335,44.1721729030743,0.706289359576587
"34","ch06",3,452,38.5333397384437,0.773590640438642
"35","ch06",4,571,26.2662252506748,0.668991868239983
"36","ch06",5,846,13.2230483636954,0.773589448988062
"37","ch07",0,95,205.975104555992,0.857419969142955
"38","ch07",1,230.5,94.504890115029,0.476245982337687
"39","ch07",2,370,84.3409251766786,0.666865255229311
"40","ch07",3,508,53.062928123753,0.575145047086577
"41","ch07",4,646.5,24.7846794996594,0.621778992551
"42","ch07",5,919.5,10.6189776291976,0.544894685950787
"43","ch08",0,95,196.080040474157,0.749121398513874
"44","ch08",1,229,83.9394287131023,0.501396750212204
"45","ch08",2,368.5,60.2894531720328,0.452233556261755
"46","ch08",3,503.75,37.3087913958165,0.484384235818179
"47","ch08",4,637.25,21.4867834642411,0.451354864343016
"48","ch08",5,850.75,9.83918418545736,0.432618088782328
"49","ch09",0,95,257.583107114864,0.709336855987792
"50","ch09",1,231,160.021700726655,0.514277775336646
"51","ch09",2,368,138.918882247943,0.509646178087738
"52","ch09",3,507.5,71.3708770334086,0.429929641105194
"53","ch09",4,645.5,31.721779946707,0.449007774301594
"54","ch09",5,914.5,14.8917081901645,0.427653995261875
"55","ch10",0,95,151.0132755481,0.757484625668105
"56","ch10",1,214.5,101.534175399436,0.517859198226757
"57","ch10",2,335.75,60.6216464157172,0.458163450260342
"58","ch10",3,456.75,38.7434494239385,0.487948621072264
"59","ch10",4,576,15.2628265746802,0.524122803673462
"60","ch10",5,769.75,12.0557930858115,0.506348059252722
"61","ch11",0,95,236.17989518766,0.558991629125145
"62","ch11",1,226,145.819877288794,0.619970561479476
"63","ch11",2,362.5,66.5714105947096,0.450326454961733
"64","ch11",3,499.75,48.2327444823069,0.585295109720429
"65","ch11",4,631,30.3073240050786,0.539224184735331
"66","ch11",5,909,21.5091532266528,0.620167443515436
"67","ch12",0,95,117.474202414214,0.67785812686068
"68","ch12",1,206,93.4495381875498,0.577457216315036
"69","ch12",2,311,51.5841916777209,0.498357274421068
"70","ch12",3,412,36.185444219904,0.711244214164077
"71","ch12",4,518.5,28.9993938318026,0.512461589740583
"72","ch12",5,752.5,14.1971125253568,0.501209778754434
