"","chamber","Cflux","Ccum","allmass","treecarbon"
"1","ch01",26925.675417074,3524644.19597714,33910.85586,16955.42793
"2","ch02",21071.7284817638,2702423.85957683,24056.508883,12028.2544415
"3","ch03",21661.29506064,2605861.35762614,34904.05799,17452.028995
"4","ch04",15147.705449553,1723099.80822438,19731.480897,9865.7404485
"5","ch05",19834.5239152525,2871703.49977594,21885.153614,10942.576807
"6","ch06",9588.02147294605,1132242.96105486,10157.866179,5078.9330895
"7","ch07",15435.8183758368,2074786.63707583,19175.370627,9587.6853135
"8","ch08",20858.0644250052,2488692.22219831,25318.889974,12659.444987
"9","ch09",22912.3701961377,2906370.59920609,32295.96204,16147.98102
"10","ch10",13545.309545178,1383317.16054747,20026.907344,10013.453672
"11","ch11",22082.3931173907,2821745.98891866,28635.04977,14317.524885
"12","ch12",9245.02898042674,860523.90805801,12963.770466,6481.885233
