"chamber","Cflux","Ccum","treeC","CO2_treatment","Water_treatment"
"ch01",26925.675417074,3524644.19597714,17364.9489124,"ambient","wet"
"ch02",21071.7284817638,2702423.85957683,12374.54793275,"elevated","dry"
"ch03",21661.29506064,2605861.35762614,18214.148995,"ambient","wet"
"ch04",15147.705449553,1723099.80822438,10534.81189325,"elevated","wet"
"ch05",19834.5239152525,2871703.49977594,11637.2057158,"ambient","dry"
"ch06",9588.02147294605,1132242.96105486,5521.32377208029,"elevated","wet"
"ch07",15435.8183758368,2074786.63707583,9887.79162391667,"ambient","dry"
"ch08",20858.0644250052,2488692.22219831,13128.2280586667,"elevated","wet"
"ch09",22912.3701961377,2906370.59920609,16965.685793,"ambient","dry"
"ch10",13545.309545178,1383317.16054747,10322.0292905,"elevated","dry"
"ch11",22082.3931173907,2821745.98891866,14668.3701787234,"ambient","wet"
"ch12",9245.02898042674,860523.90805801,6902.89202966667,"elevated","dry"
